District code,State name,District name,Population Total,Literacy rate,name,Place,Coordinates,Area,Population
525,MAHARASHTRA,Osmanabad,1657576,0.686430064,"Osmanabad, MAHARASHTRA","Osmanabad, MH, India","18.18560028076172, 76.04170227050781",7569,218.9953759
526,MAHARASHTRA,Solapur,4317756,0.674117759,"Solapur, MAHARASHTRA","Sholapur, MH, India","17.66668701171875, 75.9052734375",6905,625.3086169
527,MAHARASHTRA,Satara,3003741,0.740974005,"Satara, MAHARASHTRA","Satara, MH, India","17.688413619995117, 74.00617980957031",10480,286.6165076
528,MAHARASHTRA,Ratnagiri,1615069,0.742625857,"Ratnagiri, MAHARASHTRA","Ratnagiri, MH, India","16.99250030517578, 73.29419708251953",8208,196.7676657
529,MAHARASHTRA,Sindhudurg,849651,0.783930108,"Sindhudurg, MAHARASHTRA","Sindhudurg district, MH, India","16.108888626098633, 73.69083404541016",5675,149.7182379
530,MAHARASHTRA,Kolhapur,3876001,0.729061989,"Kolhapur, MAHARASHTRA","Kolhapur, MH, India","16.710214614868164, 74.21077728271484",185,20951.35676
531,MAHARASHTRA,Sangli,2822143,0.72620948,"Sangli, MAHARASHTRA","Sangli, MH, India","16.819499969482422, 74.6395034790039",8572,329.2280681
532,ANDHRA PRADESH,Adilabad,2741239,0.541122828,"Adilabad, ANDHRA PRADESH","Adilabad, TG, India","19.65688133239746, 78.55181121826172",16105,170.2104315
533,ANDHRA PRADESH,Nizamabad,2551335,0.544738343,"Nizamabad, ANDHRA PRADESH","Nizamabad, TG, India","18.660863876342773, 78.09168243408203",61,41825.16393
534,ANDHRA PRADESH,Karimnagar,3776269,0.584394014,"Karimnagar, ANDHRA PRADESH","AP, India","15.755635261535645, 79.9654769897461",1809,2087.489773
535,ANDHRA PRADESH,Medak,3033288,0.539723561,"Medak, ANDHRA PRADESH","AP, India","15.755635261535645, 79.9654769897461",1507,2012.798938
